name,displayName,description,module,path,standalone
"index-docs","Index Docs","Generates or updates an index.md of all documents in the specified directory","core","src/core/tasks/index-docs.xml","true"
"review-adversarial-general","Adversarial Review (General)","Cynically review content and produce findings","core","src/core/tasks/review-adversarial-general.xml","false"
"shard-doc","Shard Document","Splits large markdown documents into smaller, organized files based on level 2 (default) sections","core","src/core/tasks/shard-doc.xml","false"
"validate-workflow","Validate Workflow Output","Run a checklist against a document with thorough analysis and produce a validation report","core","src/core/tasks/validate-workflow.xml","false"
"workflow","Execute Workflow","Execute given workflow by loading its configuration, following instructions, and producing output","core","src/core/tasks/workflow.xml","false"
"bmad-help","BMAD Help","Interactive help system for discovering BMAD modules, agents, workflows, and commands","core","src/core/tasks/bmad-help.xml","true"
